Text:  ONE DAY A YOUNG BOY COMES UPON THE SUNFLOWER WHILE VISITING THE GARDEN AND HE NOTICES HOW WEAK IT LOOKS
Conf:  4
Ref:   00j9bKdiOjk

FRAME 	X 	Y 	W 	H 
002320 	0.415 	0.108 	0.105 	0.269 
002321 	0.415 	0.106 	0.106 	0.271 
002322 	0.414 	0.102 	0.106 	0.278 
002323 	0.413 	0.099 	0.108 	0.286 
002324 	0.414 	0.101 	0.108 	0.277 
002325 	0.414 	0.104 	0.107 	0.269 
002326 	0.415 	0.107 	0.106 	0.264 
002327 	0.414 	0.110 	0.106 	0.262 
002328 	0.413 	0.115 	0.105 	0.265 
002329 	0.412 	0.118 	0.105 	0.264 
002330 	0.413 	0.121 	0.104 	0.265 
002331 	0.412 	0.121 	0.104 	0.265 
002332 	0.413 	0.118 	0.103 	0.266 
002333 	0.412 	0.117 	0.102 	0.264 
002334 	0.412 	0.116 	0.102 	0.264 
002335 	0.412 	0.113 	0.103 	0.263 
002336 	0.412 	0.114 	0.103 	0.262 
002337 	0.411 	0.112 	0.105 	0.265 
002338 	0.411 	0.111 	0.105 	0.269 
002339 	0.411 	0.110 	0.105 	0.276 
002340 	0.412 	0.107 	0.103 	0.295 
002341 	0.411 	0.106 	0.105 	0.290 
002342 	0.410 	0.109 	0.105 	0.282 
002343 	0.410 	0.110 	0.104 	0.275 
002344 	0.410 	0.109 	0.105 	0.273 
002345 	0.408 	0.111 	0.106 	0.269 
002346 	0.408 	0.111 	0.106 	0.264 
002347 	0.407 	0.113 	0.108 	0.260 
002348 	0.407 	0.116 	0.108 	0.253 
002349 	0.407 	0.115 	0.108 	0.253 
002350 	0.406 	0.115 	0.107 	0.254 
002351 	0.406 	0.115 	0.107 	0.256 
002352 	0.405 	0.115 	0.108 	0.258 
002353 	0.404 	0.113 	0.108 	0.263 
002354 	0.405 	0.113 	0.107 	0.270 
002355 	0.405 	0.113 	0.107 	0.273 
002356 	0.405 	0.114 	0.106 	0.276 
002357 	0.406 	0.116 	0.104 	0.276 
002358 	0.406 	0.116 	0.104 	0.277 
002359 	0.407 	0.117 	0.104 	0.274 
002360 	0.407 	0.117 	0.105 	0.270 
002361 	0.407 	0.119 	0.105 	0.263 
002362 	0.408 	0.120 	0.105 	0.259 
002363 	0.409 	0.122 	0.106 	0.255 
002364 	0.410 	0.124 	0.106 	0.251 
002365 	0.409 	0.124 	0.106 	0.251 
002366 	0.410 	0.125 	0.106 	0.251 
002367 	0.410 	0.125 	0.105 	0.251 
002368 	0.410 	0.125 	0.106 	0.253 
002369 	0.409 	0.124 	0.106 	0.253 
002370 	0.409 	0.123 	0.104 	0.253 
002371 	0.407 	0.122 	0.102 	0.253 
002372 	0.404 	0.120 	0.102 	0.257 
002373 	0.403 	0.116 	0.102 	0.273 
002374 	0.402 	0.115 	0.102 	0.271 
002375 	0.401 	0.116 	0.103 	0.268 
002376 	0.401 	0.116 	0.102 	0.266 
002377 	0.400 	0.116 	0.102 	0.264 
002378 	0.401 	0.117 	0.102 	0.263 
002379 	0.401 	0.117 	0.102 	0.262 
002380 	0.403 	0.116 	0.101 	0.261 
002381 	0.403 	0.117 	0.101 	0.258 
002382 	0.404 	0.115 	0.100 	0.266 
002383 	0.405 	0.109 	0.100 	0.277 
002384 	0.405 	0.107 	0.100 	0.278 
002385 	0.408 	0.110 	0.099 	0.266 
002386 	0.408 	0.109 	0.101 	0.265 
002387 	0.408 	0.110 	0.100 	0.267 
002388 	0.410 	0.114 	0.100 	0.264 
002389 	0.410 	0.115 	0.100 	0.265 
002390 	0.410 	0.119 	0.103 	0.262 
002391 	0.412 	0.119 	0.103 	0.261 
002392 	0.412 	0.118 	0.103 	0.263 
002393 	0.414 	0.117 	0.103 	0.264 
002394 	0.414 	0.117 	0.102 	0.262 
002395 	0.415 	0.117 	0.103 	0.260 
002396 	0.415 	0.116 	0.103 	0.263 
002397 	0.415 	0.116 	0.103 	0.262 
002398 	0.416 	0.116 	0.103 	0.263 
002399 	0.415 	0.117 	0.104 	0.262 
002400 	0.415 	0.117 	0.104 	0.262 
002401 	0.415 	0.117 	0.104 	0.261 
002402 	0.415 	0.117 	0.104 	0.261 
002403 	0.414 	0.118 	0.105 	0.259 
002404 	0.415 	0.118 	0.104 	0.259 
