,Unnamed: 0,spk1,spk1_fid,spk1_path,spk2,spk2_fid,spk2_path,noise_type,noise_db,noise_path,mixture_path,overlap_ms,s1_silence_start_ms,s1_silence_end_ms
10,10,24M,si1362,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/si1362.wav,57M,si1449,/project/pi_mfiterau_umass_edu/TCD_TIMIT/57M/straightcam/si1449.wav,White,15,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/White/15/volunteers/24M/straightcam/si1362.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_si1362_57M_si1449.wav,4000,4000.0,4000.0
11,11,24M,si1449,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/si1449.wav,06M,sx248,/project/pi_mfiterau_umass_edu/TCD_TIMIT/06M/straightcam/sx248.wav,LR,0,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/LR/0/volunteers/24M/straightcam/si1449.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_si1449_06M_sx248.wav,4000,4000.0,4000.0
12,12,24M,si1544,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/si1544.wav,50F,sx149,/project/pi_mfiterau_umass_edu/TCD_TIMIT/50F/straightcam/sx149.wav,LR,15,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/LR/15/volunteers/24M/straightcam/si1544.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_si1544_50F_sx149.wav,4000,4000.0,4000.0
13,13,24M,si1546,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/si1546.wav,13F,sa2,/project/pi_mfiterau_umass_edu/TCD_TIMIT/13F/straightcam/sa2.wav,LR,20,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/LR/20/volunteers/24M/straightcam/si1546.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_si1546_13F_sa2.wav,4000,4000.0,4000.0
14,14,24M,si1566,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/si1566.wav,52M,sx236,/project/pi_mfiterau_umass_edu/TCD_TIMIT/52M/straightcam/sx236.wav,Car,20,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Car/20/volunteers/24M/straightcam/si1566.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_si1566_52M_sx236.wav,4000,4000.0,4000.0
15,15,24M,si1630,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/si1630.wav,50F,sx326,/project/pi_mfiterau_umass_edu/TCD_TIMIT/50F/straightcam/sx326.wav,LR,0,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/LR/0/volunteers/24M/straightcam/si1630.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_si1630_50F_sx326.wav,4000,4000.0,4000.0
16,16,24M,si1727,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/si1727.wav,02M,si527,/project/pi_mfiterau_umass_edu/TCD_TIMIT/02M/straightcam/si527.wav,Street,0,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Street/0/volunteers/24M/straightcam/si1727.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_si1727_02M_si527.wav,3520,3520.0,3712.0625
17,17,24M,si1730,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/si1730.wav,23M,sx8,/project/pi_mfiterau_umass_edu/TCD_TIMIT/23M/straightcam/sx8.wav,LR,0,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/LR/0/volunteers/24M/straightcam/si1730.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_si1730_23M_sx8.wav,4000,4000.0,4000.0
18,18,24M,si1818,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/si1818.wav,50F,sa2,/project/pi_mfiterau_umass_edu/TCD_TIMIT/50F/straightcam/sa2.wav,Car,15,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Car/15/volunteers/24M/straightcam/si1818.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_si1818_50F_sa2.wav,4000,4000.0,4000.0
19,19,24M,si1893,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/si1893.wav,30F,si1173,/project/pi_mfiterau_umass_edu/TCD_TIMIT/30F/straightcam/si1173.wav,Street,15,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Street/15/volunteers/24M/straightcam/si1893.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_si1893_30F_si1173.wav,4000,4000.0,4000.0
20,20,24M,si1903,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/si1903.wav,38F,sx360,/project/pi_mfiterau_umass_edu/TCD_TIMIT/38F/straightcam/sx360.wav,Street,0,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Street/0/volunteers/24M/straightcam/si1903.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_si1903_38F_sx360.wav,4000,4000.0,4000.0
21,21,24M,si1909,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/si1909.wav,10M,si1919,/project/pi_mfiterau_umass_edu/TCD_TIMIT/10M/straightcam/si1919.wav,LR,-5,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/LR/-5/volunteers/24M/straightcam/si1909.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_si1909_10M_si1919.wav,4000,4000.0,4000.0
22,22,24M,si1992,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/si1992.wav,10M,sx27,/project/pi_mfiterau_umass_edu/TCD_TIMIT/10M/straightcam/sx27.wav,Babble,20,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Babble/20/volunteers/24M/straightcam/si1992.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_si1992_10M_sx27.wav,4000,4000.0,4000.0
23,23,24M,si2079,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/si2079.wav,40F,sx302,/project/pi_mfiterau_umass_edu/TCD_TIMIT/40F/straightcam/sx302.wav,Car,10,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Car/10/volunteers/24M/straightcam/si2079.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_si2079_40F_sx302.wav,3392,3392.0625,4000.0
24,24,24M,si2081,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/si2081.wav,14M,sx77,/project/pi_mfiterau_umass_edu/TCD_TIMIT/14M/straightcam/sx77.wav,Car,-5,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Car/-5/volunteers/24M/straightcam/si2081.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_si2081_14M_sx77.wav,4000,4000.0,4000.0
25,25,24M,si2149,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/si2149.wav,04M,sx45,/project/pi_mfiterau_umass_edu/TCD_TIMIT/04M/straightcam/sx45.wav,White,5,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/White/5/volunteers/24M/straightcam/si2149.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_si2149_04M_sx45.wav,4000,4000.0,4000.0
26,26,24M,si2176,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/si2176.wav,03F,sx79,/project/pi_mfiterau_umass_edu/TCD_TIMIT/03F/straightcam/sx79.wav,White,-5,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/White/-5/volunteers/24M/straightcam/si2176.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_si2176_03F_sx79.wav,4000,4000.0,4000.0
27,27,24M,si2260,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/si2260.wav,42M,si858,/project/pi_mfiterau_umass_edu/TCD_TIMIT/42M/straightcam/si858.wav,Street,5,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Street/5/volunteers/24M/straightcam/si2260.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_si2260_42M_si858.wav,4000,4000.0,4000.0
28,28,24M,si467,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/si467.wav,37F,sx260,/project/pi_mfiterau_umass_edu/TCD_TIMIT/37F/straightcam/sx260.wav,Street,0,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Street/0/volunteers/24M/straightcam/si467.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_si467_37F_sx260.wav,4000,4000.0,4000.0
29,29,24M,si470,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/si470.wav,59F,sx336,/project/pi_mfiterau_umass_edu/TCD_TIMIT/59F/straightcam/sx336.wav,Street,-5,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Street/-5/volunteers/24M/straightcam/si470.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_si470_59F_sx336.wav,4000,4000.0,4000.0
30,30,24M,si558,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/si558.wav,39M,sx380,/project/pi_mfiterau_umass_edu/TCD_TIMIT/39M/straightcam/sx380.wav,LR,0,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/LR/0/volunteers/24M/straightcam/si558.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_si558_39M_sx380.wav,4000,4000.0,4000.0
31,31,24M,si633,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/si633.wav,21M,si790,/project/pi_mfiterau_umass_edu/TCD_TIMIT/21M/straightcam/si790.wav,Babble,15,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Babble/15/volunteers/24M/straightcam/si633.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_si633_21M_si790.wav,4000,4000.0,4000.0
32,32,24M,si643,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/si643.wav,42M,si947,/project/pi_mfiterau_umass_edu/TCD_TIMIT/42M/straightcam/si947.wav,White,20,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/White/20/volunteers/24M/straightcam/si643.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_si643_42M_si947.wav,4000,4000.0,4000.0
33,33,24M,si649,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/si649.wav,05F,sx241,/project/pi_mfiterau_umass_edu/TCD_TIMIT/05F/straightcam/sx241.wav,Street,0,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Street/0/volunteers/24M/straightcam/si649.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_si649_05F_sx241.wav,4000,4000.0,4000.0
34,34,24M,si732,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/si732.wav,11F,si2118,/project/pi_mfiterau_umass_edu/TCD_TIMIT/11F/straightcam/si2118.wav,Car,15,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Car/15/volunteers/24M/straightcam/si732.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_si732_11F_si2118.wav,4000,4000.0,4000.0
35,35,24M,si819,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/si819.wav,31F,sx369,/project/pi_mfiterau_umass_edu/TCD_TIMIT/31F/straightcam/sx369.wav,White,5,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/White/5/volunteers/24M/straightcam/si819.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_si819_31F_sx369.wav,4000,4000.0,4000.0
36,36,24M,si821,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/si821.wav,20M,sx234,/project/pi_mfiterau_umass_edu/TCD_TIMIT/20M/straightcam/sx234.wav,Cafe,15,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Cafe/15/volunteers/24M/straightcam/si821.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_si821_20M_sx234.wav,4000,4000.0,4000.0
37,37,24M,si916,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/si916.wav,37F,si1702,/project/pi_mfiterau_umass_edu/TCD_TIMIT/37F/straightcam/si1702.wav,Babble,20,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Babble/20/volunteers/24M/straightcam/si916.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_si916_37F_si1702.wav,4000,4000.0,4000.0
38,38,24M,sx10,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/sx10.wav,31F,si723,/project/pi_mfiterau_umass_edu/TCD_TIMIT/31F/straightcam/si723.wav,Cafe,10,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Cafe/10/volunteers/24M/straightcam/sx10.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_sx10_31F_si723.wav,4000,4000.0,4000.0
39,39,24M,sx100,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/sx100.wav,26M,sx133,/project/pi_mfiterau_umass_edu/TCD_TIMIT/26M/straightcam/sx133.wav,Cafe,5,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Cafe/5/volunteers/24M/straightcam/sx100.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_sx100_26M_sx133.wav,4000,4000.0,4000.0
40,40,24M,sx101,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/sx101.wav,52M,si600,/project/pi_mfiterau_umass_edu/TCD_TIMIT/52M/straightcam/si600.wav,Cafe,5,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Cafe/5/volunteers/24M/straightcam/sx101.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_sx101_52M_si600.wav,4000,4000.0,4000.0
41,41,24M,sx102,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/sx102.wav,52M,sx422,/project/pi_mfiterau_umass_edu/TCD_TIMIT/52M/straightcam/sx422.wav,Cafe,5,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Cafe/5/volunteers/24M/straightcam/sx102.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_sx102_52M_sx422.wav,4000,4000.0,4000.0
42,42,24M,sx103,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/sx103.wav,12M,sx45,/project/pi_mfiterau_umass_edu/TCD_TIMIT/12M/straightcam/sx45.wav,Car,0,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Car/0/volunteers/24M/straightcam/sx103.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_sx103_12M_sx45.wav,4000,4000.0,4000.0
43,43,24M,sx104,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/sx104.wav,52M,sx419,/project/pi_mfiterau_umass_edu/TCD_TIMIT/52M/straightcam/sx419.wav,Babble,20,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Babble/20/volunteers/24M/straightcam/sx104.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_sx104_52M_sx419.wav,3797,3797.375,4000.0
44,44,24M,sx106,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/sx106.wav,21M,sx71,/project/pi_mfiterau_umass_edu/TCD_TIMIT/21M/straightcam/sx71.wav,Babble,5,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Babble/5/volunteers/24M/straightcam/sx106.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_sx106_21M_sx71.wav,4000,4000.0,4000.0
45,45,24M,sx107,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/sx107.wav,51F,sx396,/project/pi_mfiterau_umass_edu/TCD_TIMIT/51F/straightcam/sx396.wav,Babble,15,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Babble/15/volunteers/24M/straightcam/sx107.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_sx107_51F_sx396.wav,4000,4000.0,4000.0
46,46,24M,sx108,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/sx108.wav,11F,sx305,/project/pi_mfiterau_umass_edu/TCD_TIMIT/11F/straightcam/sx305.wav,Street,15,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Street/15/volunteers/24M/straightcam/sx108.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_sx108_11F_sx305.wav,4000,4000.0,4000.0
47,47,24M,sx109,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/sx109.wav,26M,si1745,/project/pi_mfiterau_umass_edu/TCD_TIMIT/26M/straightcam/si1745.wav,Babble,10,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Babble/10/volunteers/24M/straightcam/sx109.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_sx109_26M_si1745.wav,4000,4000.0,4000.0
48,48,24M,sx11,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/sx11.wav,26M,si1451,/project/pi_mfiterau_umass_edu/TCD_TIMIT/26M/straightcam/si1451.wav,White,15,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/White/15/volunteers/24M/straightcam/sx11.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_sx11_26M_si1451.wav,3498,3498.6875,4000.0
49,49,24M,sx110,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/sx110.wav,59F,si2047,/project/pi_mfiterau_umass_edu/TCD_TIMIT/59F/straightcam/si2047.wav,Car,15,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Car/15/volunteers/24M/straightcam/sx110.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_sx110_59F_si2047.wav,4000,4000.0,4000.0
50,50,24M,sx12,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/sx12.wav,29M,sx346,/project/pi_mfiterau_umass_edu/TCD_TIMIT/29M/straightcam/sx346.wav,LR,20,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/LR/20/volunteers/24M/straightcam/sx12.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_sx12_29M_sx346.wav,3413,3413.375,4000.0
51,51,24M,sx13,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/sx13.wav,11F,si1215,/project/pi_mfiterau_umass_edu/TCD_TIMIT/11F/straightcam/si1215.wav,Car,5,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Car/5/volunteers/24M/straightcam/sx13.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_sx13_11F_si1215.wav,3221,3221.375,4000.0
52,52,24M,sx14,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/sx14.wav,07F,si1343,/project/pi_mfiterau_umass_edu/TCD_TIMIT/07F/straightcam/si1343.wav,Car,15,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Car/15/volunteers/24M/straightcam/sx14.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_sx14_07F_si1343.wav,4000,4000.0,4000.0
53,53,24M,sx16,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/sx16.wav,16M,si1003,/project/pi_mfiterau_umass_edu/TCD_TIMIT/16M/straightcam/si1003.wav,Cafe,-5,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Cafe/-5/volunteers/24M/straightcam/sx16.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_sx16_16M_si1003.wav,3904,3904.0625,4000.0
54,54,24M,sx17,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/sx17.wav,20M,sx231,/project/pi_mfiterau_umass_edu/TCD_TIMIT/20M/straightcam/sx231.wav,Car,-5,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Car/-5/volunteers/24M/straightcam/sx17.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_sx17_20M_sx231.wav,3733,3733.375,3733.375
55,55,24M,sx18,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/sx18.wav,16M,si642,/project/pi_mfiterau_umass_edu/TCD_TIMIT/16M/straightcam/si642.wav,White,0,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/White/0/volunteers/24M/straightcam/sx18.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_sx18_16M_si642.wav,4000,4000.0,4000.0
56,56,24M,sx183,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/sx183.wav,20M,sx421,/project/pi_mfiterau_umass_edu/TCD_TIMIT/20M/straightcam/sx421.wav,Car,10,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Car/10/volunteers/24M/straightcam/sx183.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_sx183_20M_sx421.wav,4000,4000.0,4000.0
57,57,24M,sx189,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/sx189.wav,40F,sx292,/project/pi_mfiterau_umass_edu/TCD_TIMIT/40F/straightcam/sx292.wav,Cafe,0,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Cafe/0/volunteers/24M/straightcam/sx189.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_sx189_40F_sx292.wav,4000,4000.0,4000.0
