,spk,fid,audio_path,gray_video_path,optical_flow_path,audio_length,video_length,video_H,video_W
46,02M,sx115,/project/pi_mfiterau_umass_edu/TCD_TIMIT/02M/straightcam/sx115.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/02M/sx115.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/02M/sx115.npy,70316,273,67,67
47,02M,sx116,/project/pi_mfiterau_umass_edu/TCD_TIMIT/02M/straightcam/sx116.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/02M/sx116.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/02M/sx116.npy,56320,219,67,67
48,02M,sx126,/project/pi_mfiterau_umass_edu/TCD_TIMIT/02M/straightcam/sx126.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/02M/sx126.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/02M/sx126.npy,62123,240,67,67
49,02M,sx15,/project/pi_mfiterau_umass_edu/TCD_TIMIT/02M/straightcam/sx15.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/02M/sx15.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/02M/sx15.npy,65537,254,67,67
50,02M,sx16,/project/pi_mfiterau_umass_edu/TCD_TIMIT/02M/straightcam/sx16.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/02M/sx16.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/02M/sx16.npy,60758,236,67,67
51,02M,sx167,/project/pi_mfiterau_umass_edu/TCD_TIMIT/02M/straightcam/sx167.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/02M/sx167.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/02M/sx167.npy,83627,325,67,67
52,02M,sx17,/project/pi_mfiterau_umass_edu/TCD_TIMIT/02M/straightcam/sx17.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/02M/sx17.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/02M/sx17.npy,58369,225,67,67
53,02M,sx18,/project/pi_mfiterau_umass_edu/TCD_TIMIT/02M/straightcam/sx18.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/02M/sx18.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/02M/sx18.npy,65878,254,67,67
54,02M,sx19,/project/pi_mfiterau_umass_edu/TCD_TIMIT/02M/straightcam/sx19.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/02M/sx19.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/02M/sx19.npy,69292,269,67,67
55,02M,sx195,/project/pi_mfiterau_umass_edu/TCD_TIMIT/02M/straightcam/sx195.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/02M/sx195.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/02M/sx195.npy,58027,225,67,67
56,02M,sx198,/project/pi_mfiterau_umass_edu/TCD_TIMIT/02M/straightcam/sx198.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/02M/sx198.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/02M/sx198.npy,67243,261,67,67
57,02M,sx199,/project/pi_mfiterau_umass_edu/TCD_TIMIT/02M/straightcam/sx199.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/02M/sx199.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/02M/sx199.npy,81920,319,67,67
58,02M,sx20,/project/pi_mfiterau_umass_edu/TCD_TIMIT/02M/straightcam/sx20.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/02M/sx20.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/02M/sx20.npy,65537,254,67,67
59,02M,sx200,/project/pi_mfiterau_umass_edu/TCD_TIMIT/02M/straightcam/sx200.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/02M/sx200.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/02M/sx200.npy,68267,265,67,67
60,02M,sx201,/project/pi_mfiterau_umass_edu/TCD_TIMIT/02M/straightcam/sx201.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/02M/sx201.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/02M/sx201.npy,68609,265,67,67
61,02M,sx202,/project/pi_mfiterau_umass_edu/TCD_TIMIT/02M/straightcam/sx202.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/02M/sx202.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/02M/sx202.npy,52566,204,67,67
62,02M,sx203,/project/pi_mfiterau_umass_edu/TCD_TIMIT/02M/straightcam/sx203.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/02M/sx203.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/02M/sx203.npy,62806,244,67,67
63,02M,sx205,/project/pi_mfiterau_umass_edu/TCD_TIMIT/02M/straightcam/sx205.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/02M/sx205.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/02M/sx205.npy,78507,307,67,67
64,02M,sx206,/project/pi_mfiterau_umass_edu/TCD_TIMIT/02M/straightcam/sx206.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/02M/sx206.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/02M/sx206.npy,72705,282,67,67
65,02M,sx21,/project/pi_mfiterau_umass_edu/TCD_TIMIT/02M/straightcam/sx21.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/02M/sx21.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/02M/sx21.npy,57003,221,67,67
66,02M,sx216,/project/pi_mfiterau_umass_edu/TCD_TIMIT/02M/straightcam/sx216.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/02M/sx216.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/02M/sx216.npy,59393,231,67,67
67,02M,sx22,/project/pi_mfiterau_umass_edu/TCD_TIMIT/02M/straightcam/sx22.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/02M/sx22.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/02M/sx22.npy,61099,236,67,67
68,02M,sx23,/project/pi_mfiterau_umass_edu/TCD_TIMIT/02M/straightcam/sx23.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/02M/sx23.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/02M/sx23.npy,68609,267,67,67
69,02M,sx25,/project/pi_mfiterau_umass_edu/TCD_TIMIT/02M/straightcam/sx25.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/02M/sx25.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/02M/sx25.npy,53590,206,67,67
70,02M,sx257,/project/pi_mfiterau_umass_edu/TCD_TIMIT/02M/straightcam/sx257.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/02M/sx257.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/02M/sx257.npy,57686,225,67,67
71,02M,sx26,/project/pi_mfiterau_umass_edu/TCD_TIMIT/02M/straightcam/sx26.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/02M/sx26.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/02M/sx26.npy,66219,259,67,67
