,spk1,spk1_fid,spk1_path,spk2,spk2_fid,spk2_path,noise_type,noise_db,noise_path,mixture_path
19,24M,si1893,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/si1893.wav,30F,si1173,/project/pi_mfiterau_umass_edu/TCD_TIMIT/30F/straightcam/si1173.wav,Street,15,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Street/15/volunteers/24M/straightcam/si1893.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_si1893_30F_si1173.wav
20,24M,si1903,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/si1903.wav,38F,sx360,/project/pi_mfiterau_umass_edu/TCD_TIMIT/38F/straightcam/sx360.wav,Street,0,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Street/0/volunteers/24M/straightcam/si1903.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_si1903_38F_sx360.wav
21,24M,si1909,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/si1909.wav,10M,si1919,/project/pi_mfiterau_umass_edu/TCD_TIMIT/10M/straightcam/si1919.wav,LR,-5,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/LR/-5/volunteers/24M/straightcam/si1909.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_si1909_10M_si1919.wav
22,24M,si1992,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/si1992.wav,10M,sx27,/project/pi_mfiterau_umass_edu/TCD_TIMIT/10M/straightcam/sx27.wav,Babble,20,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Babble/20/volunteers/24M/straightcam/si1992.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_si1992_10M_sx27.wav
23,24M,si2079,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/si2079.wav,40F,sx302,/project/pi_mfiterau_umass_edu/TCD_TIMIT/40F/straightcam/sx302.wav,Car,10,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Car/10/volunteers/24M/straightcam/si2079.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_si2079_40F_sx302.wav
24,24M,si2081,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/si2081.wav,14M,sx77,/project/pi_mfiterau_umass_edu/TCD_TIMIT/14M/straightcam/sx77.wav,Car,-5,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Car/-5/volunteers/24M/straightcam/si2081.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_si2081_14M_sx77.wav
25,24M,si2149,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/si2149.wav,04M,sx45,/project/pi_mfiterau_umass_edu/TCD_TIMIT/04M/straightcam/sx45.wav,White,5,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/White/5/volunteers/24M/straightcam/si2149.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_si2149_04M_sx45.wav
26,24M,si2176,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/si2176.wav,03F,sx79,/project/pi_mfiterau_umass_edu/TCD_TIMIT/03F/straightcam/sx79.wav,White,-5,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/White/-5/volunteers/24M/straightcam/si2176.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_si2176_03F_sx79.wav
27,24M,si2260,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/si2260.wav,42M,si858,/project/pi_mfiterau_umass_edu/TCD_TIMIT/42M/straightcam/si858.wav,Street,5,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Street/5/volunteers/24M/straightcam/si2260.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_si2260_42M_si858.wav
28,24M,si467,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/si467.wav,37F,sx260,/project/pi_mfiterau_umass_edu/TCD_TIMIT/37F/straightcam/sx260.wav,Street,0,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Street/0/volunteers/24M/straightcam/si467.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_si467_37F_sx260.wav
29,24M,si470,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/si470.wav,59F,sx336,/project/pi_mfiterau_umass_edu/TCD_TIMIT/59F/straightcam/sx336.wav,Street,-5,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Street/-5/volunteers/24M/straightcam/si470.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_si470_59F_sx336.wav
30,24M,si558,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/si558.wav,39M,sx380,/project/pi_mfiterau_umass_edu/TCD_TIMIT/39M/straightcam/sx380.wav,LR,0,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/LR/0/volunteers/24M/straightcam/si558.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_si558_39M_sx380.wav
31,24M,si633,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/si633.wav,21M,si790,/project/pi_mfiterau_umass_edu/TCD_TIMIT/21M/straightcam/si790.wav,Babble,15,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Babble/15/volunteers/24M/straightcam/si633.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_si633_21M_si790.wav
32,24M,si643,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/si643.wav,42M,si947,/project/pi_mfiterau_umass_edu/TCD_TIMIT/42M/straightcam/si947.wav,White,20,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/White/20/volunteers/24M/straightcam/si643.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_si643_42M_si947.wav
33,24M,si649,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/si649.wav,05F,sx241,/project/pi_mfiterau_umass_edu/TCD_TIMIT/05F/straightcam/sx241.wav,Street,0,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Street/0/volunteers/24M/straightcam/si649.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_si649_05F_sx241.wav
34,24M,si732,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/si732.wav,11F,si2118,/project/pi_mfiterau_umass_edu/TCD_TIMIT/11F/straightcam/si2118.wav,Car,15,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Car/15/volunteers/24M/straightcam/si732.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_si732_11F_si2118.wav
35,24M,si819,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/si819.wav,31F,sx369,/project/pi_mfiterau_umass_edu/TCD_TIMIT/31F/straightcam/sx369.wav,White,5,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/White/5/volunteers/24M/straightcam/si819.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_si819_31F_sx369.wav
36,24M,si821,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/si821.wav,20M,sx234,/project/pi_mfiterau_umass_edu/TCD_TIMIT/20M/straightcam/sx234.wav,Cafe,15,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Cafe/15/volunteers/24M/straightcam/si821.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_si821_20M_sx234.wav
37,24M,si916,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/si916.wav,37F,si1702,/project/pi_mfiterau_umass_edu/TCD_TIMIT/37F/straightcam/si1702.wav,Babble,20,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Babble/20/volunteers/24M/straightcam/si916.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_si916_37F_si1702.wav
38,24M,sx10,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/sx10.wav,31F,si723,/project/pi_mfiterau_umass_edu/TCD_TIMIT/31F/straightcam/si723.wav,Cafe,10,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Cafe/10/volunteers/24M/straightcam/sx10.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_sx10_31F_si723.wav
39,24M,sx100,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/sx100.wav,26M,sx133,/project/pi_mfiterau_umass_edu/TCD_TIMIT/26M/straightcam/sx133.wav,Cafe,5,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Cafe/5/volunteers/24M/straightcam/sx100.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_sx100_26M_sx133.wav
40,24M,sx101,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/sx101.wav,52M,si600,/project/pi_mfiterau_umass_edu/TCD_TIMIT/52M/straightcam/si600.wav,Cafe,5,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Cafe/5/volunteers/24M/straightcam/sx101.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_sx101_52M_si600.wav
41,24M,sx102,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/sx102.wav,52M,sx422,/project/pi_mfiterau_umass_edu/TCD_TIMIT/52M/straightcam/sx422.wav,Cafe,5,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Cafe/5/volunteers/24M/straightcam/sx102.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_sx102_52M_sx422.wav
42,24M,sx103,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/sx103.wav,12M,sx45,/project/pi_mfiterau_umass_edu/TCD_TIMIT/12M/straightcam/sx45.wav,Car,0,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Car/0/volunteers/24M/straightcam/sx103.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_sx103_12M_sx45.wav
43,24M,sx104,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/sx104.wav,52M,sx419,/project/pi_mfiterau_umass_edu/TCD_TIMIT/52M/straightcam/sx419.wav,Babble,20,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Babble/20/volunteers/24M/straightcam/sx104.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_sx104_52M_sx419.wav
44,24M,sx106,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/sx106.wav,21M,sx71,/project/pi_mfiterau_umass_edu/TCD_TIMIT/21M/straightcam/sx71.wav,Babble,5,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Babble/5/volunteers/24M/straightcam/sx106.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_sx106_21M_sx71.wav
45,24M,sx107,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/sx107.wav,51F,sx396,/project/pi_mfiterau_umass_edu/TCD_TIMIT/51F/straightcam/sx396.wav,Babble,15,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Babble/15/volunteers/24M/straightcam/sx107.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_sx107_51F_sx396.wav
46,24M,sx108,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/sx108.wav,11F,sx305,/project/pi_mfiterau_umass_edu/TCD_TIMIT/11F/straightcam/sx305.wav,Street,15,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Street/15/volunteers/24M/straightcam/sx108.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_sx108_11F_sx305.wav
47,24M,sx109,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/sx109.wav,26M,si1745,/project/pi_mfiterau_umass_edu/TCD_TIMIT/26M/straightcam/si1745.wav,Babble,10,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Babble/10/volunteers/24M/straightcam/sx109.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_sx109_26M_si1745.wav
48,24M,sx11,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/sx11.wav,26M,si1451,/project/pi_mfiterau_umass_edu/TCD_TIMIT/26M/straightcam/si1451.wav,White,15,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/White/15/volunteers/24M/straightcam/sx11.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_sx11_26M_si1451.wav
49,24M,sx110,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/sx110.wav,59F,si2047,/project/pi_mfiterau_umass_edu/TCD_TIMIT/59F/straightcam/si2047.wav,Car,15,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Car/15/volunteers/24M/straightcam/sx110.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_sx110_59F_si2047.wav
50,24M,sx12,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/sx12.wav,29M,sx346,/project/pi_mfiterau_umass_edu/TCD_TIMIT/29M/straightcam/sx346.wav,LR,20,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/LR/20/volunteers/24M/straightcam/sx12.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_sx12_29M_sx346.wav
51,24M,sx13,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/sx13.wav,11F,si1215,/project/pi_mfiterau_umass_edu/TCD_TIMIT/11F/straightcam/si1215.wav,Car,5,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Car/5/volunteers/24M/straightcam/sx13.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_sx13_11F_si1215.wav
52,24M,sx14,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/sx14.wav,07F,si1343,/project/pi_mfiterau_umass_edu/TCD_TIMIT/07F/straightcam/si1343.wav,Car,15,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Car/15/volunteers/24M/straightcam/sx14.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_sx14_07F_si1343.wav
53,24M,sx16,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/sx16.wav,16M,si1003,/project/pi_mfiterau_umass_edu/TCD_TIMIT/16M/straightcam/si1003.wav,Cafe,-5,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Cafe/-5/volunteers/24M/straightcam/sx16.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_sx16_16M_si1003.wav
54,24M,sx17,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/sx17.wav,20M,sx231,/project/pi_mfiterau_umass_edu/TCD_TIMIT/20M/straightcam/sx231.wav,Car,-5,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Car/-5/volunteers/24M/straightcam/sx17.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_sx17_20M_sx231.wav
55,24M,sx18,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/sx18.wav,16M,si642,/project/pi_mfiterau_umass_edu/TCD_TIMIT/16M/straightcam/si642.wav,White,0,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/White/0/volunteers/24M/straightcam/sx18.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_sx18_16M_si642.wav
56,24M,sx183,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/sx183.wav,20M,sx421,/project/pi_mfiterau_umass_edu/TCD_TIMIT/20M/straightcam/sx421.wav,Car,10,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Car/10/volunteers/24M/straightcam/sx183.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_sx183_20M_sx421.wav
57,24M,sx189,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/sx189.wav,40F,sx292,/project/pi_mfiterau_umass_edu/TCD_TIMIT/40F/straightcam/sx292.wav,Cafe,0,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Cafe/0/volunteers/24M/straightcam/sx189.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_sx189_40F_sx292.wav
58,24M,sx19,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/sx19.wav,29M,si711,/project/pi_mfiterau_umass_edu/TCD_TIMIT/29M/straightcam/si711.wav,Cafe,10,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Cafe/10/volunteers/24M/straightcam/sx19.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_sx19_29M_si711.wav
59,24M,sx190,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/sx190.wav,03F,si1207,/project/pi_mfiterau_umass_edu/TCD_TIMIT/03F/straightcam/si1207.wav,LR,10,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/LR/10/volunteers/24M/straightcam/sx190.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_sx190_03F_si1207.wav
60,24M,sx191,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/sx191.wav,29M,si887,/project/pi_mfiterau_umass_edu/TCD_TIMIT/29M/straightcam/si887.wav,Babble,-5,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Babble/-5/volunteers/24M/straightcam/sx191.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_sx191_29M_si887.wav
61,24M,sx192,/project/pi_mfiterau_umass_edu/TCD_TIMIT/24M/straightcam/sx192.wav,14M,sx164,/project/pi_mfiterau_umass_edu/TCD_TIMIT/14M/straightcam/sx164.wav,Street,-5,/project/pi_mfiterau_umass_edu/TCD_TIMIT_NOISE/Street/-5/volunteers/24M/straightcam/sx192.wav,/project/pi_mfiterau_umass_edu/TCD_TIMIT_EXP/audio_mixture/24M_sx192_14M_sx164.wav
